# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 5.706133759180044,3.4627645146913624,0.7534910565105734,171.97327015975355,2.8519993565492405,3.000000000000187,-0.03644879577933289,180.0,-5.964873102149449,0.0
 5.710867346081338,3.449364240697953,0.755387453060221,171.94503491456936,2.8662001172531233,2.999999999999812,-0.03609576739884134,180.0,-5.936582661795373,0.0
 5.715586701461565,3.4359389278318444,0.7572940898258447,171.91701807124423,2.8803581833938035,2.9999999999997176,-0.0357542547057562,180.0,-5.909532088076159,0.0
 5.720291756977188,3.4224893700773507,0.7592108287472465,171.8892133946985,2.894473349940671,2.9999999999999054,-0.03542397505239094,180.0,-5.883704642763447,0.0
 5.724982444962001,3.4090163614187845,0.7611375317642287,171.86161477202447,2.9085454138951095,2.999999999999716,-0.03510465778275578,180.0,-5.859084547920939,0.0
 5.729658698401382,3.39552069584046,0.7630740608165933,171.83421620775565,2.922574174213252,3.00000000000019,-0.03479604402583029,180.0,-5.835656959562803,0.0
 5.7343204509073695,3.382003167326691,0.7650202778441428,171.8070118193003,2.9365594317312143,2.9999999999998095,-0.03449788570939332,180.0,-5.813407945326546,0.0
 5.738967636694531,3.368464569861791,0.7669760447866794,171.77999583252182,2.950500989092696,2.999999999999713,-0.03420994630362986,180.0,-5.792324465040001,0.0
 5.743600190556584,3.354905697430074,0.7689412235840052,171.75316257745104,2.9643986506788558,3.000000000000096,-0.033931999053284784,180.0,-5.772394349176299,0.0
 5.748218047843755,3.3413273440158537,0.7709156761759223,171.72650648414125,2.978252222540371,3.0000000000000964,-0.033663827570887865,180.0,-5.753606283054594,0.0
 5.752821144440831,3.3277303036034427,0.7728992645022332,171.70002207863885,2.9920615123315972,2.9999999999999036,-0.03340522485478491,180.0,-5.735949787096229,0.0
 5.757409416745879,3.314115370177156,0.7748918505027401,171.67370397908755,3.0058263292467404,2.999999999999903,-0.033155993257867986,180.0,-5.719415203512839,0.0
 5.761982801649623,3.3004833377213068,0.776893296117245,171.64754689193754,3.019546483957972,2.999999999999806,-0.032915944625428184,180.0,-5.695645972952504,0.0
 5.766547917494276,3.2868350002202087,0.7789034632855502,171.62154560826087,3.024363652603396,1.0552127940117373,-0.03268489899103635,180.0,-5.647493009644769,0.0
 5.771125277401865,3.273171151658175,0.780922213947458,171.59569500018017,3.010631572880632,-2.999999999999709,-0.03246268503527433,180.0,-5.583664415580389,0.0
 5.775728881931108,3.2594925860195203,0.7829494100427705,171.56999001738683,2.9968207592929037,-2.9999999999998073,-0.0322491397485708,180.0,-5.521520502494076,0.0
 5.780358826458339,3.2458000972885577,0.7849849135112901,171.5444256837543,2.982930925711211,-2.999999999999904,-0.03204410727896803,180.0,-5.461016737086551,0.0
